,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT Aquarius can be blunt ass people.,Krunkkarla,22,0,Sat Nov 14 17:15:05 +0000 2020
1,1,"Aquarius tend to detach themselves from everyone when they feel sad, and may simply want some alone time to work out their feelings.",AquariusUnite,0,0,Sat Nov 14 17:15:04 +0000 2020
2,2,if my tarot doesn’t say that i need to watch for an aquarius i’m throwing the cards away.. cause they clearly broken.,seaberrymadi,0,0,Sat Nov 14 17:14:56 +0000 2020
3,3,"RT ✉️🔮Scorpio, Capricorn, Aquarius, Gemini -sun, moon, rising, venus- easy wins 🔱 you’re about to be shown how easy it is to…",pr3ttyblunts,215,0,Sat Nov 14 17:14:52 +0000 2020
4,4,If anyone tells me I do anything because I'm an Aquarius I'm obviously going to agree with them. Once you know I'm…,thecooltableto,0,0,Sat Nov 14 17:14:45 +0000 2020
5,5,"RT ✉️🔮Cancer, Virgo, Aquarius, Sagittarius -sun, moon, rising, venus- things are beginning to happen for you without you cha…",itskynziiii,18,0,Sat Nov 14 17:14:38 +0000 2020
6,6,RT Prepare for the day aquarius. You have something awaiting you.,kamala4presidnt,202,0,Sat Nov 14 17:14:28 +0000 2020
7,7,"All I did was focus on Aquarius' greatness. Go show your own sign some love, girl! 🙂😘",HotGirlNash,0,0,Sat Nov 14 17:14:27 +0000 2020
8,8,"RT Why do people like to act like air signs (Gemini, Libra, Aquarius) aren’t emotional or emotionally intelligent????",blazedblasian_,578,0,Sat Nov 14 17:14:26 +0000 2020
9,9,"RT 23° = Aquarius = The Group With so many planets in Scorpio right now, pay attention to weird stuff that are coming out in yo…",bawseash,22,0,Sat Nov 14 17:14:11 +0000 2020
10,10,RT Scars and bruises on Aquarius ppl only make us more pretty period,officialVixx13,74,0,Sat Nov 14 17:14:09 +0000 2020
11,11,RT Aquarius girl mindset: bitch I’m a real star. I go thru real shit that ain’t nobody dealing with &amp; don’t nobody give a shit 😂…,HollaJessica,45,0,Sat Nov 14 17:14:08 +0000 2020
12,12,"RT If Gemini, Leo, Sagittarius or Aquarius don’t get to say what they are thinking at all times they are probably just goi…",OhMyGreeneBone,95,0,Sat Nov 14 17:14:03 +0000 2020
13,13,"RT Virgo,Pisces,Capricorn,Aquarius and Sagittarius dream bathroom",OhMyGreeneBone,68,0,Sat Nov 14 17:13:53 +0000 2020
14,14,RT Aquarius can be blunt ass people.,manrange20,22,0,Sat Nov 14 17:13:50 +0000 2020
15,15,"RT Whether an Aquarius loves you to death or slightly likes you, they hate texting/ calling first! They feel like they're…",patekwaterbae,93,0,Sat Nov 14 17:13:49 +0000 2020
